scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.05,7300,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.05,7300,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.1,14600,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.05,7300,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.1,14600,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.05,7300,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.1,14600,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.05,7300,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us
clique,0.1,14600,0,1,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.2,400,56.2863,7.10653,1.739,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.3,400,56.2863,7.10653,1.739,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.4,600,45.42,13.21,1.739,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.5,800,42.441,18.8497,1.454,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.6,1000,39.3436,25.4171,1.511,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.7,1200,38.0704,31.5206,1.549,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.8,1200,38.0704,31.5206,1.549,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,0.9,1400,37.2102,37.6241,1.57614,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
matching,1,1600,36.5901,43.7276,1.5965,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.05,200,39.432,5.07202,1.739,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.1,200,39.432,5.07202,1.739,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.2,400,26.2226,15.254,1.549,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.3,500,25.5381,19.5786,1.625,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.4,700,25.025,27.9721,1.60329,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.5,800,24.9627,32.0478,1.57614,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.6,1000,24.7835,40.3494,1.57433,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.7,1200,24.7171,48.5494,1.58355,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.05,700,25.025,27.9721,1.60329,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.1,1300,24.6953,52.6416,1.62208,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.2,2600,24.6045,105.672,1.63377,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.3,3900,24.5885,158.611,1.65208,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.4,5200,24.583,211.528,1.66033,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.5,6400,24.5806,260.368,1.66068,1.768,0,0,0
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.05,700,206.989,3.38182,114.093,203.86,218,117,11136
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.1,1300,235.237,5.52635,78.6685,164.565,1054,873,29115
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.2,2600,433.414,5.99888,53.1726,157.4,5486,5243,81248
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.3,3900,516.197,7.55526,46.17,150.766,14203,13878,158691
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.4,5200,540.166,9.62668,44.2503,144.632,27588,27209,260413
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.5,6400,525.19,12.1861,69.9956,145.91,64044,63048,495518
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.6,7700,525.085,14.6643,70.7892,146.555,109843,108239,719857
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.7,9000,513.352,17.5318,97.7795,146.354,206135,203452,1138928
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.8,10300,538.048,19.1433,113.07,142.155,431894,425753,1929875
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,0.9,11600,639.126,18.1498,123.372,141.105,770721,755560,3347772
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
clique,1,12800,728.819,17.5627,125.337,141.736,962421,941709,3972465
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
hubs,0.05,700,549.315,1.27431,184.126,301.893,28382,27310,400300
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
hubs,0.1,1300,638.128,2.03721,67.9309,164.076,12203,12011,294763
scenario,f,demand_gbps,tput_gbps,oversub_ratio,mean_us,p99_us,cnp_sent,cnp_recv,ce_packets
hubs,0.2,2600,618.047,4.2068,50.4931,156.5,28962,28709,408130
